,순위,영화명,개봉일,매출액,관객수,스크린수,상영횟수,대표국적,국적,배급사,Unnamed: 10,링크연도
0,1,명량,2014-07-30,135758208810.0,17615844.0,1587.0,188724.0,한국,한국,(주)씨제이이엔엠,2014.0,2014
1,2,극한직업,2019-01-23,139655543516.0,16266338.0,2003.0,292816.0,한국,한국,(주)씨제이이엔엠,2019.0,2018
2,3,신과함께-죄와 벌,2017-12-20,115727528087.0,14414658.0,1912.0,214631.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2017.0,2017
3,4,국제시장,2014-12-17,110947045230.0,14264382.0,1044.0,212703.0,한국,한국,(주)씨제이이엔엠,2014.0,2014
4,5,어벤져스: 엔드게임,2019-04-24,122492181020.0,13977602.0,2835.0,246433.0,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019.0,2019
5,6,겨울왕국 2,2019-11-21,114810421450.0,13747792.0,2648.0,299334.0,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019.0,2019
6,7,베테랑,2015-08-05,105170856250.0,13414484.0,1115.0,199307.0,한국,한국,(주)씨제이이엔엠,2015.0,2015
7,8,아바타,2009-12-17,125304346000.0,13338863.0,917.0,164457.0,미국,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)",2009.0,2009
8,9,도둑들,2012-07-25,93672497700.0,12984701.0,1091.0,155487.0,한국,"한국,홍콩",(주)쇼박스,2012.0,2012
9,10,7번방의 선물,2013-01-23,91437368170.0,12812144.0,866.0,167013.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2013.0,2012
10,11,알라딘,2019-05-23,109041960039.0,12797927.0,1409.0,284820.0,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2019.0,2019
11,12,암살,2015-07-22,98469385781.0,12706947.0,1519.0,175222.0,한국,한국,(주)쇼박스,2015.0,2015
12,13,범죄도시2,2022-05-18,131297560478.0,12693322.0,2521.0,355767.0,한국,한국,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2022.0,2022
13,14,"광해, 왕이 된 남자",2012-09-13,88913283469.0,12324062.0,1001.0,203464.0,한국,한국,(주)씨제이이엔엠,2012.0,2012
14,15,신과함께-인과 연,2018-08-01,102689349539.0,12278010.0,2235.0,180750.0,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2018.0,2017
15,16,택시운전사,2017-08-02,95871631649.0,12189706.0,1906.0,184208.0,한국,한국,(주)쇼박스,2017.0,2017
16,17,부산행,2016-07-20,93188162548.0,11567815.0,1788.0,151533.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2016.0,2016
17,18,변호인,2013-12-18,82876713788.0,11375399.0,925.0,152290.0,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2013.0,2013
18,19,해운대,2009-07-22,81028720000.0,11325117.0,764.0,154332.0,한국,한국,CJ ENM,2009.0,2009
19,20,어벤져스: 인피니티 워,2018-04-25,100081428549.0,11233176.0,2553.0,243677.0,미국,미국,월트디즈니컴퍼니코리아 유한책임회사,2018.0,2018
20,21,괴물,2006-07-27,66717700300.0,10917400.0,647.0,113105.0,한국,한국,(주)쇼박스,2006.0,2006
21,22,왕의 남자,2005-12-29,66019904400.0,10514177.0,313.0,111193.0,한국,한국,(주)시네마서비스,2005.0,2005
22,23,어벤져스: 에이지 오브 울트론,2015-04-23,88645598646.0,10504487.0,1843.0,194385.0,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2015.0,2015
23,24,인터스텔라,2014-11-06,83072616000.0,10342523.0,1410.0,170542.0,미국,"미국,영국",워너브러더스 코리아(주),2014.0,2014
24,25,기생충,2019-05-30,87463906795.0,10313513.0,1948.0,206449.0,한국,한국,(주)씨제이이엔엠,2019.0,2019
25,26,겨울왕국,2014-01-16,82521307080.0,10303058.0,1010.0,157838.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014.0,2013
26,27,보헤미안 랩소디,2018-10-31,86280975785.0,9948386.0,1179.0,232226.0,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)",2018.0,2018
27,28,검사외전,2016-02-03,77320403264.0,9707581.0,1812.0,153532.0,한국,한국,(주)쇼박스,2016.0,2015
28,29,엑시트,2019-07-31,79239937162.0,9426960.0,1660.0,202418.0,한국,한국,(주)씨제이이엔엠,2019.0,2019
29,30,설국열차,2013-08-01,67035020000.0,9353799.0,1128.0,125777.0,한국,"한국,체코",(주)씨제이이엔엠,2013.0,2013
30,31,관상,2013-09-11,66009826500.0,9135806.0,1240.0,125107.0,한국,한국,(주)쇼박스,2013.0,2013
31,32,아이언맨 3,2013-04-25,70809259500.0,9001679.0,1389.0,163596.0,미국,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013.0,2013
32,33,캡틴 아메리카: 시빌 워,2016-04-27,72686676527.0,8678761.0,1991.0,161744.0,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",2016.0,2016
33,34,해적: 바다로 간 산적,2014-08-06,66372140706.0,8666208.0,910.0,133354.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2014.0,2014
34,35,수상한 그녀,2014-01-22,62721416849.0,8660760.0,1027.0,137010.0,한국,한국,(주)씨제이이엔엠,2014.0,2014
35,36,백두산,2019-12-19,69831430800.0,8253427.0,1971.0,174505.0,한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오",2019.0,2019
36,37,과속스캔들,2008-12-03,53801341400.0,8223342.0,408.0,145556.0,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2008.0,2008
37,38,탑건: 매버릭,2022-06-22,87855424975.0,8177452.0,1975.0,249415.0,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트,2022.0,2021
38,39,국가대표,2009-07-29,57570773000.0,8035181.0,570.0,131671.0,한국,한국,(주)쇼박스,2009.0,2009
39,40,스파이더맨: 파 프롬 홈,2019-07-02,69033177100.0,8023606.0,2142.0,181035.0,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2019.0,2019
40,41,디워,2007-08-01,49340084700.0,7855474.0,622.0,96439.0,한국,한국,(주)쇼박스,2007.0,2007
41,42,공조,2017-01-18,63783534886.0,7817686.0,1392.0,142999.0,한국,한국,(주)씨제이이엔엠,2017.0,2016
42,43,트랜스포머 3,2011-06-29,74842906588.0,7785189.0,1409.0,124464.0,미국,미국,(주)씨제이이엔엠,2011.0,2011
