,영화,리뷰,평점,site,okt_review,okt_details,okt_polarity
0,명량,여기에 말같잖은 평다는 놈들은 매국노 인증인 듯,10.0,naver,"[('여기', 'Noun'), ('에', 'Josa'), ('말', 'Noun'), ('같잖다', 'Adjective'), ('평', 'Noun'), ('달다', 'Verb'), ('놈', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('매국노', 'Noun'), ('인증', 'Noun'), ('인', 'Josa'), ('듯', 'Noun')]","[[3, [('같잖다', 'Adjective')], -1.0]]",-1.0
1,명량,다 좋았어요 한산보고 나서 보니 더 좋네요,10.0,naver,"[('다', 'Adverb'), ('좋다', 'Adjective'), ('한산', 'Noun'), ('보고', 'Noun'), ('나서다', 'Verb'), ('보다', 'Verb'), ('더', 'Noun'), ('좋다', 'Adjective')]","[[1, [('좋다', 'Adjective')], 2.0], [7, [('좋다', 'Adjective')], 2.0]]",4.0
2,명량,2번째 본 역사영화 진짜 이순신은 대단한 영웅 중에 영웅보는 내내 끝까지 긴장 놓을 수 없고 이순신이란 인물이 정말 대단한 영웅임,10.0,naver,"[('2', 'Number'), ('번째', 'Suffix'), ('보다', 'Verb'), ('역사영화', 'Noun'), ('진짜', 'Noun'), ('이순신', 'Noun'), ('은', 'Josa'), ('대단하다', 'Adjective'), ('영웅', 'Noun'), ('중', 'Noun'), ('에', 'Josa'), ('영웅', 'Noun'), ('보다', 'Verb'), ('내내', 'Noun'), ('끝', 'Noun'), ('까지', 'Josa'), ('긴장', 'Noun'), ('놓다', 'Verb'), ('수', 'Noun'), ('없다', 'Adjective'), ('이순신', 'Noun'), ('이란', 'Josa'), ('인물', 'Noun'), ('이', 'Josa'), ('정말', 'Noun'), ('대단하다', 'Adjective'), ('영웅', 'Noun'), ('임', 'Noun')]","[[7, [('대단하다', 'Adjective')], 2.0], [8, [('영웅', 'Noun')], 2.0], [11, [('영웅', 'Noun')], 2.0], [19, [('없다', 'Adjective')], -1.0], [25, [('대단하다', 'Adjective')], 2.0], [26, [('영웅', 'Noun')], 2.0]]",9.0
3,명량,정말 거짓말 안 한다클레멘타인에 대한 평가를 호평으로 오해했으면 관객 수가 이리 나왔을 수도 있겠다는 생각이 들었다,1.0,naver,"[('정말', 'Noun'), ('거짓말', 'Noun'), ('안', 'Noun'), ('하다', 'Verb'), ('클레멘타인', 'Noun'), ('에', 'Josa'), ('대한', 'Noun'), ('평가', 'Noun'), ('를', 'Josa'), ('호평', 'Noun'), ('으로', 'Josa'), ('오해', 'Noun'), ('하다', 'Verb'), ('관객', 'Noun'), ('수가', 'Noun'), ('이리', 'Adverb'), ('나오다', 'Verb'), ('수도', 'Noun'), ('있다', 'Adjective'), ('생각', 'Noun'), ('이', 'Josa'), ('들다', 'Verb')]","[[11, [('오해', 'Noun'), ('하다', 'Verb')], -1.0], [1, [('거짓말', 'Noun')], -2.0]]",-3.0
4,명량,재미있게 잘 봤습니다,10.0,naver,"[('재미있다', 'Adjective'), ('자다', 'Verb'), ('보다', 'Verb')]","[[0, [('재미있다', 'Adjective')], 2.0]]",2.0
5,명량,조선용 감하다,10.0,naver,"[('조', 'Modifier'), ('선용', 'Noun'), ('감', 'Noun'), ('하다', 'Verb')]",[],0.0
6,명량,그냥 너무 지루 자체,1.0,naver,"[('그냥', 'Noun'), ('너무', 'Adverb'), ('지루', 'Noun'), ('자체', 'Noun')]","[[2, [('지루', 'Noun')], -1.0]]",-1.0
7,명량,사람들이 영화에 대한 평점이 아닌 이순신에 대한 평점을 매기는구나 국뽕에 눈 돌아가는 것 좀 자제했으면,6.0,naver,"[('사람', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('영화', 'Noun'), ('에', 'Josa'), ('대한', 'Noun'), ('평점', 'Noun'), ('이', 'Josa'), ('아니다', 'Adjective'), ('이순신', 'Noun'), ('에', 'Josa'), ('대한', 'Noun'), ('평점', 'Noun'), ('을', 'Josa'), ('매다', 'Verb'), ('국뽕', 'Noun'), ('에', 'Josa'), ('눈', 'Noun'), ('돌아가다', 'Verb'), ('것', 'Noun'), ('좀', 'Noun'), ('자제', 'Noun'), ('하다', 'Verb')]","[[8, [('아니다', 'Adjective')], -2.0]]",-2.0
8,명량,구루지마 이름도 없는 일본 장수 올려치는 거에서 1점줌,1.0,naver,"[('구', 'Modifier'), ('루지', 'Noun'), ('마', 'Noun'), ('이름', 'Noun'), ('도', 'Josa'), ('없다', 'Adjective'), ('일본', 'Noun'), ('장수', 'Noun'), ('올리다', 'Verb'), ('거', 'Noun'), ('에서', 'Josa'), ('1', 'Number'), ('점줌', 'Noun')]","[[5, [('없다', 'Adjective')], -1.0]]",-1.0
9,명량,330척12척에 대결 아주 화려한 해상전쟁 영화였다,10.0,naver,"[('330', 'Number'), ('척', 'Noun'), ('12', 'Number'), ('척', 'Noun'), ('에', 'Josa'), ('대결', 'Noun'), ('아주', 'Noun'), ('화려하다', 'Adjective'), ('해상전쟁', 'Noun'), ('영화', 'Noun'), ('이다', 'Verb')]","[[7, [('화려하다', 'Adjective')], 1.0]]",1.0
