word,pos,description
니까,ECD,의존적 연결 어미
라고,ECD,의존적 연결 어미
아도,ECD,의존적 연결 어미
어서,ECD,의존적 연결 어미
ㄴ데,ECD,의존적 연결 어미
으니,ECD,의존적 연결 어미
ㄹ까요,ECD,의존적 연결 어미
으면,ECD,의존적 연결 어미
ㄹ까,ECD,의존적 연결 어미
더니,ECD,의존적 연결 어미
니깐,ECD,의존적 연결 어미
길래,ECD,의존적 연결 어미
아야,ECD,의존적 연결 어미
는데,ECD,의존적 연결 어미
게,ECD,의존적 연결 어미
기에,ECD,의존적 연결 어미
어도,ECD,의존적 연결 어미
ㄹ라,ECD,의존적 연결 어미
으므로,ECD,의존적 연결 어미
려,ECD,의존적 연결 어미
으니까,ECD,의존적 연결 어미
서,ECD,의존적 연결 어미
게끔,ECD,의존적 연결 어미
도록,ECD,의존적 연결 어미
러,ECD,의존적 연결 어미
라도,ECD,의존적 연결 어미
려고,ECD,의존적 연결 어미
어야,ECD,의존적 연결 어미
다가,ECD,의존적 연결 어미
ㄴ지,ECD,의존적 연결 어미
지,ECD,의존적 연결 어미
아,ECD,의존적 연결 어미
아서,ECD,의존적 연결 어미
더라도,ECD,의존적 연결 어미
ㄹ지,ECD,의존적 연결 어미
자고,ECD,의존적 연결 어미
다시피,ECD,의존적 연결 어미
느라,ECD,의존적 연결 어미
라면,ECD,의존적 연결 어미
니,ECD,의존적 연결 어미
은데,ECD,의존적 연결 어미
ㄹ수록,ECD,의존적 연결 어미
어,ECD,의존적 연결 어미
라,ECD,의존적 연결 어미
으려,ECD,의존적 연결 어미
든,ECE,대등 연결 어미
ㄴ다면서,ECE,대등 연결 어미
다고만,ECE,대등 연결 어미
고,ECE,대등 연결 어미
든지,ECE,대등 연결 어미
며,ECE,대등 연결 어미
는다면,ECE,대등 연결 어미
자,ECE,대등 연결 어미
으나,ECE,대등 연결 어미
나요,ECE,대등 연결 어미
지만,ECE,대등 연결 어미
거나,ECE,대등 연결 어미
나,ECE,대등 연결 어미
ㄴ다면,ECE,대등 연결 어미
고는,ECE,대등 연결 어미
