word,polarity,okt_word,pos_len
(-;,1.0,"[('(-;', 'Punctuation')]",1
(;_;),-1.0,"[('(;_;)', 'Punctuation')]",1
(^^),1.0,"[('(^^)', 'Punctuation')]",1
(^-^),1.0,"[('(^-^)', 'Punctuation')]",1
(^^*,1.0,"[('(^^*', 'Punctuation')]",1
(^_^),1.0,"[('(^_^)', 'Punctuation')]",1
(^_^;,-1.0,"[('(^_^;', 'Punctuation')]",1
(^o^),1.0,"[('(^', 'Punctuation'), ('o', 'Alpha'), ('^)', 'Punctuation')]",3
(-_-),-1.0,"[('(-_-)', 'Punctuation')]",1
(T_T),-1.0,"[('(', 'Punctuation'), ('T', 'Alpha'), ('_', 'Punctuation'), ('T', 'Alpha'), (')', 'Punctuation')]",5
(ㅡㅡ),-1.0,"[('(', 'Punctuation'), ('ㅡㅡ', 'KoreanParticle'), (')', 'Punctuation')]",3
)-:,-1.0,"[(')-:', 'Punctuation')]",1
*^^*,1.0,"[('*^^*', 'Punctuation')]",1
/^o^\,1.0,"[('/^', 'Punctuation'), ('o', 'Alpha'), ('^\\', 'Punctuation')]",3
:(,1.0,"[(':(', 'Punctuation')]",1
:'-(,1.0,"[("":'-("", 'Punctuation')]",1
:-(,1.0,"[(':-(', 'Punctuation')]",1
:),-1.0,"[(':)', 'Punctuation')]",1
:-),1.0,"[(':-)', 'Punctuation')]",1
:/,-1.0,"[(':/', 'Punctuation')]",1
:|,1.0,"[(':|', 'Punctuation')]",1
:D,-1.0,"[(':', 'Punctuation'), ('D', 'Alpha')]",2
:-D,-1.0,"[(':-', 'Punctuation'), ('D', 'Alpha')]",2
:p,0.0,"[(':', 'Punctuation'), ('p', 'Alpha')]",2
:-P,-1.0,"[(':-', 'Punctuation'), ('P', 'Alpha')]",2
;,1.0,"[(';', 'Punctuation')]",1
;),1.0,"[(';)', 'Punctuation')]",1
;-),1.0,"[(';-)', 'Punctuation')]",1
;ㅅ;,-1.0,"[(';', 'Punctuation'), ('ㅅ', 'KoreanParticle'), (';', 'Punctuation')]",3
^///^,1.0,"[('^///^', 'Punctuation')]",1
^^,1.0,"[('^^', 'Punctuation')]",1
^^//,1.0,"[('^^//', 'Punctuation')]",1
^-^;,-1.0,"[('^-^;', 'Punctuation')]",1
^-^;;,-1.0,"[('^-^;;', 'Punctuation')]",1
^-^;;;;;,-1.0,"[('^-^;;;;;', 'Punctuation')]",1
-_-^,-1.0,"[('-_-^', 'Punctuation')]",1
<3,1.0,"[('<', 'Punctuation'), ('3', 'Number')]",2
=),1.0,"[('=)', 'Punctuation')]",1
8-),0.0,"[('8', 'Number'), ('-)', 'Punctuation')]",2
B-),0.0,"[('B', 'Alpha'), ('-)', 'Punctuation')]",2
XD,1.0,"[('XD', 'Alpha')]",1
ㄱㅅ,1.0,"[('ㄱㅅ', 'KoreanParticle')]",1
ㄱㅇㄷ,1.0,"[('ㄱㅇㄷ', 'KoreanParticle')]",1
가격이 싸다,1.0,"[('가격', 'Noun'), ('이', 'Josa'), ('싸다', 'Verb')]",3
가까스로,0.0,"[('가까스로', 'Noun')]",1
가까이 사귀어,1.0,"[('가까이', 'Noun'), ('사귀어', 'Verb')]",2
가까이하다,1.0,"[('가까이', 'Noun'), ('하다', 'Verb')]",2
가꾸러뜨리다,-1.0,"[('가꾸러', 'Verb'), ('뜨리다', 'Verb')]",2
가꾸러트리다,-1.0,"[('가꾸러', 'Verb'), ('트리', 'Noun'), ('다', 'Josa')]",3
가난,-2.0,"[('가난', 'Noun')]",1
가난뱅이,-2.0,"[('가난뱅이', 'Noun')]",1
가난살이,-2.0,"[('가난', 'Noun'), ('살이', 'Noun')]",2
가난살이하다,-2.0,"[('가난', 'Noun'), ('살이', 'Noun'), ('하', 'Suffix'), ('다', 'Josa')]",4
가난설음,-2.0,"[('가난', 'Noun'), ('설음', 'Noun')]",2
가난에,-2.0,"[('가난', 'Noun'), ('에', 'Josa')]",2
가난에 쪼들려서,-2.0,"[('가난', 'Noun'), ('에', 'Josa'), ('쪼들려서', 'Verb')]",3
가난하게,-2.0,"[('가난하게', 'Adjective')]",1
가난하고,-2.0,"[('가난하고', 'Adjective')]",1
가난하고 어렵다,-2.0,"[('가난하고', 'Adjective'), ('어렵다', 'Adjective')]",2
가난하고 천한,-2.0,"[('가난하고', 'Adjective'), ('천한', 'Adjective')]",2
가난하다,-2.0,"[('가난하다', 'Adjective')]",1
가난하여,-2.0,"[('가난하여', 'Adjective')]",1
가난한,-2.0,"[('가난한', 'Adjective')]",1
가난한 데다가,-2.0,"[('가난한', 'Adjective'), ('데', 'Noun'), ('다가', 'Noun')]",3
가난한 사람을,-2.0,"[('가난한', 'Adjective'), ('사람', 'Noun'), ('을', 'Josa')]",3
가난히,-2.0,"[('가난히', 'Adjective')]",1
가년스럽다,-2.0,"[('가년', 'Noun'), ('스럽다', 'Adjective')]",2
가념하다,-1.0,"[('가념하', 'Noun'), ('다', 'Josa')]",2
가녕스럽다,-2.0,"[('가녕', 'Noun'), ('스럽다', 'Adjective')]",2
가누기 어려워하다,-1.0,"[('가누기', 'Verb'), ('어려워하다', 'Adjective')]",2
가누지 못하고,-2.0,"[('가누지', 'Verb'), ('못', 'Noun'), ('하고', 'Josa')]",3
가누지 못하다,-2.0,"[('가누지', 'Verb'), ('못', 'VerbPrefix'), ('하다', 'Verb')]",3
가누지 못할,-2.0,"[('가누지', 'Verb'), ('못', 'VerbPrefix'), ('할', 'Verb')]",3
가누지 못할 정도로,-2.0,"[('가누지', 'Verb'), ('못', 'VerbPrefix'), ('할', 'Verb'), ('정도', 'Noun'), ('로', 'Josa')]",5
가누지 못함,-2.0,"[('가누지', 'Verb'), ('못', 'VerbPrefix'), ('함', 'Verb')]",3
가눌 수 없게,-2.0,"[('가눌', 'Verb'), ('수', 'Noun'), ('없게', 'Adjective')]",3
가눌 수 없을,-2.0,"[('가눌', 'Verb'), ('수', 'Noun'), ('없을', 'Adjective')]",3
가눌 수 없이,-2.0,"[('가눌', 'Verb'), ('수', 'Noun'), ('없이', 'Adverb')]",3
가능성이 늘어나다,2.0,"[('가능성', 'Noun'), ('이', 'Josa'), ('늘어나다', 'Verb')]",3
가능성이 있다고,2.0,"[('가능성', 'Noun'), ('이', 'Josa'), ('있다고', 'Adjective')]",3
가능하다,2.0,"[('가능하다', 'Adjective')]",1
가닐가닐하다,-1.0,"[('가닐가닐', 'Adverb'), ('하다', 'Verb')]",2
가다듬어,1.0,"[('가다듬어', 'Verb')]",1
가다듬어 수습하는,1.0,"[('가다듬어', 'Verb'), ('수습', 'Noun'), ('하는', 'Verb')]",3
가다듬어 수습하다,1.0,"[('가다듬어', 'Verb'), ('수습', 'Noun'), ('하다', 'Verb')]",3
가다듬어 정하다,1.0,"[('가다듬어', 'Verb'), ('정', 'Noun'), ('하다', 'Verb')]",3
가당찮다,-2.0,"[('가당찮다', 'Adjective')]",1
가당찮이,-2.0,"[('가당찮이', 'Adjective')]",1
가당히,1.0,"[('가당', 'Noun'), ('히', 'Adverb')]",2
가두거나,-1.0,"[('가두거나', 'Verb')]",1
가두거나 해치거나,-2.0,"[('가두거나', 'Verb'), ('해치거나', 'Verb')]",2
가드올려,-1.0,"[('가드올려', 'Noun')]",1
가뜬하게,1.0,"[('가뜬', 'Adverb'), ('하게', 'Verb')]",2
가라앉다,0.0,"[('가라앉다', 'Verb')]",1
가라앉지 않은,0.0,"[('가라앉지', 'Verb'), ('않은', 'Verb')]",2
가라앉혀 바로잡다,1.0,"[('가라앉혀', 'Verb'), ('바로잡다', 'Verb')]",2
가래,-1.0,"[('가래', 'Noun')]",1
가래 따위가,-1.0,"[('가래', 'Noun'), ('따위', 'Noun'), ('가', 'Josa')]",3
가래가,-1.0,"[('가래', 'Noun'), ('가', 'Josa')]",2
가래가 섞인,-1.0,"[('가래', 'Noun'), ('가', 'Josa'), ('섞인', 'Verb')]",3
가량맞고,-1.0,"[('가량', 'Noun'), ('맞고', 'Verb')]",2
가량맞고 야살스러운,-1.0,"[('가량', 'Noun'), ('맞고', 'Verb'), ('야', 'Exclamation'), ('살', 'Noun'), ('스러운', 'Josa')]",5
가량맞고 야살스러움,-1.0,"[('가량', 'Noun'), ('맞고', 'Verb'), ('야', 'Exclamation'), ('살', 'Noun'), ('스러', 'Adjective'), ('움', 'Noun')]",6
가려서 좋아하다,-1.0,"[('가려서', 'Verb'), ('좋아하다', 'Adjective')]",2
가려운,-1.0,"[('가려운', 'Verb')]",1
가려운 느낌이,-1.0,"[('가려운', 'Verb'), ('느낌', 'Noun'), ('이', 'Josa')]",3
가려운 증상을,-1.0,"[('가려운', 'Verb'), ('증상', 'Noun'), ('을', 'Josa')]",3
가련하게,-1.0,"[('가련하게', 'Adjective')]",1
