i,j,okt_pos,polarity
12903,12684,최상급,2.0
5218,13088,통쾌,2.0
19514,3830,많다,2.0
11993,5118,미인,2.0
5300,333,감사,2.0
20107,4407,명쾌하다,2.0
25447,11346,정다운,2.0
20205,14730,쾌적하다,2.0
25400,1120,곱다,2.0
25230,7487,수월하다,2.0
5517,12453,착하다,2.0
20268,14712,섹시하다,2.0
20306,3821,만족하다,2.0
25103,9552,영광,2.0
25059,9930,우수,2.0
5818,8045,심쿵,2.0
24939,3813,만족스럽다,2.0
5850,1708,긍지,2.0
5902,824,겸손하다,2.0
20390,443,개운하다,2.0
24835,7861,신명,2.0
5933,3803,만족,2.0
24729,430,개선,2.0
24711,11106,잘생기다,2.0
24641,6471,빼어나다,2.0
20425,10267,으쓱,2.0
11292,348,감탄,2.0
6217,3918,맑은,2.0
11187,8831,야무지다,2.0
20490,12825,친절,2.0
11046,7423,솔직하다,2.0
19478,6644,사모,2.0
19449,10424,이득,2.0
4039,5191,바르게,2.0
25953,9944,우아하다,2.0
13418,11313,절친,2.0
4161,14503,흥행,2.0
13272,7631,슬기,2.0
18693,895,경쾌하다,2.0
4233,9745,완벽하다,2.0
26923,11645,조화로움,2.0
13214,10215,유익하다,2.0
13207,13244,편하다,2.0
26809,12679,최고급,2.0
18898,329,감미롭다,2.0
4574,1557,귀하다,2.0
4590,14439,흡족하다,2.0
26763,13700,행복하다,2.0
13044,6600,사랑스럽다,2.0
12973,9593,예쁘다,2.0
8844,926,고급스럽다,2.0
4758,7792,시원스럽다,2.0
4774,12677,최고,2.0
12890,3081,덕,2.0
18930,14126,활기,2.0
4827,11173,재미,2.0
19004,13210,편안,2.0
4879,925,고급,2.0
4886,995,고성능,2.0
19272,7106,성공,2.0
5046,9120,어여쁘다,2.0
26107,3452,떳떳하다,2.0
19353,3484,똑똑하다,2.0
12308,12477,찬양,2.0
24523,957,고마움,2.0
24503,446,개이득,2.0
11041,8103,싱글벙글,2.0
6418,9701,올바르다,2.0
23496,2479,너그럽다,2.0
23414,9753,완소,2.0
21575,11790,좋아하다,2.0
9833,11680,존잘,2.0
7731,13277,평탄하다,2.0
7926,13090,통쾌하다,2.0
7928,294,감격,2.0
21728,311,감동,2.0
8061,3524,뛰어나다,2.0
9496,10492,이익,2.0
8143,3950,맛있다,2.0
9424,12716,축복,2.0
22887,9871,용감하다,2.0
9397,6498,뿌듯하다,2.0
22833,7851,신나다,2.0
22832,7026,선하다,2.0
8370,12937,킹왕짱,2.0
8406,12517,참되고,2.0
21945,13969,호감,2.0
9267,274,간편하다,2.0
8474,969,고백,2.0
22827,3618,마스터피스,2.0
22772,12471,찬란하다,2.0
8669,13271,평온,2.0
8705,10169,위트,2.0
22504,14198,훈훈하다,2.0
22316,11679,존예,2.0
8942,7282,소중하다,2.0
22364,11156,장하다,2.0
23549,9578,영웅,2.0
10150,11648,조화롭다,2.0
21434,4334,멋지다,2.0
6812,831,경건하다,2.0
6422,12808,친근하다,2.0
20578,7206,세련되다,2.0
20589,4398,명성,2.0
6479,14163,황홀,2.0
24367,3298,든든하다,2.0
6668,10905,자상하다,2.0
