word,pos,description
긴박하다,Adjective,형용사
재미없요,Adjective,형용사
유머러스하다,Adjective,형용사
예뻤구나,Adjective,형용사
분노하다,Adjective,형용사
이상한,Adjective,형용사
너그러운,Adjective,형용사
버거울,Adjective,형용사
지루하지는,Adjective,형용사
좋으면,Adjective,형용사
궁금했었는데,Adjective,형용사
행복했나,Adjective,형용사
행복했,Adjective,형용사
작네요,Adjective,형용사
당연하겠지만,Adjective,형용사
걱정스럽다,Adjective,형용사
꼬이는,Adjective,형용사
힘듬고,Adjective,형용사
억척스러우면,Adjective,형용사
유치하면서도,Adjective,형용사
안타까와,Adjective,형용사
유치하되,Adjective,형용사
있는가라고,Adjective,형용사
행복해지려는,Adjective,형용사
분노하고,Adjective,형용사
괜찮았다면,Adjective,형용사
알차서,Adjective,형용사
능숙함까지,Adjective,형용사
나빴고,Adjective,형용사
부실하게,Adjective,형용사
한결같은,Adjective,형용사
미끈하게,Adjective,형용사
어색함과,Adjective,형용사
재미있지,Adjective,형용사
뻔해지는,Adjective,형용사
굉장했다,Adjective,형용사
틀림없네,Adjective,형용사
까다로우,Adjective,형용사
당하길,Adjective,형용사
화하려면,Adjective,형용사
있었고요,Adjective,형용사
잔인했어도,Adjective,형용사
능글맞고,Adjective,형용사
좋겟는데,Adjective,형용사
똑같은,Adjective,형용사
시끄러운데도,Adjective,형용사
위대하기는,Adjective,형용사
오죽하면,Adjective,형용사
불과했다,Adjective,형용사
벅차오름을,Adjective,형용사
있지,Adjective,형용사
따뜻했고,Adjective,형용사
멋짐한,Adjective,형용사
유해한,Adjective,형용사
당했지만,Adjective,형용사
식상해졌음,Adjective,형용사
지겹고,Adjective,형용사
유쾌하잖아,Adjective,형용사
그만할,Adjective,형용사
이롭네,Adjective,형용사
있는지는,Adjective,형용사
복잡해,Adjective,형용사
아쉬웠네요,Adjective,형용사
그러세요,Adjective,형용사
만족스러,Adjective,형용사
약했던,Adjective,형용사
재미있었지만,Adjective,형용사
거대함은,Adjective,형용사
어렵네,Adjective,형용사
재미있더라,Adjective,형용사
담합니다,Adjective,형용사
괴로워서,Adjective,형용사
위대하다는,Adjective,형용사
답답합니,Adjective,형용사
신중한,Adjective,형용사
나쁜,Adjective,형용사
찌질함과,Adjective,형용사
그래두,Adjective,형용사
무섭다라는,Adjective,형용사
불가능했겠지,Adjective,형용사
좋겠네,Adjective,형용사
가볍다가,Adjective,형용사
급하지도,Adjective,형용사
무력해진다는,Adjective,형용사
아니었다네,Adjective,형용사
있었다구,Adjective,형용사
배부르랴,Adjective,형용사
없을뿐더러,Adjective,형용사
이롭다라고,Adjective,형용사
반갑진,Adjective,형용사
부었네요,Adjective,형용사
흥분하는,Adjective,형용사
흔히,Adjective,형용사
짠하지만,Adjective,형용사
사랑스러웠습니다,Adjective,형용사
어색했지만,Adjective,형용사
신기하다,Adjective,형용사
친절하게도,Adjective,형용사
탄탄해진,Adjective,형용사
미개한,Adjective,형용사
정확하,Adjective,형용사
한심하네,Adjective,형용사
깔끔하다,Adjective,형용사
관대한,Adjective,형용사
자연스러웠음,Adjective,형용사
만족스러웠음,Adjective,형용사
망하는,Adjective,형용사
어려운데,Adjective,형용사
가난해서,Adjective,형용사
퇴보할,Adjective,형용사
무모함을,Adjective,형용사
삐지기,Adjective,형용사
용했는데,Adjective,형용사
나쁘다고,Adjective,형용사
신나지는,Adjective,형용사
서글픔과,Adjective,형용사
톤존,Adjective,형용사
성숙한,Adjective,형용사
특이했습니다,Adjective,형용사
행복해지도록,Adjective,형용사
심한,Adjective,형용사
이래나,Adjective,형용사
아름다운데,Adjective,형용사
없었나라고,Adjective,형용사
초라하다,Adjective,형용사
굳어,Adjective,형용사
부족해냥,Adjective,형용사
여전했습니다,Adjective,형용사
안타까,Adjective,형용사
저랬다면,Adjective,형용사
암울하다는,Adjective,형용사
아쉽지만,Adjective,형용사
뿌듯하네용,Adjective,형용사
피곤한데,Adjective,형용사
처절함,Adjective,형용사
그렇진,Adjective,형용사
많았으나,Adjective,형용사
능통해야,Adjective,형용사
아깝죠,Adjective,형용사
훈훈함,Adjective,형용사
잘생겼다,Adjective,형용사
섭섭하지요,Adjective,형용사
아닙,Adjective,형용사
뛰어나며,Adjective,형용사
어줍잖은,Adjective,형용사
착했다,Adjective,형용사
싫어해도,Adjective,형용사
같았었는데,Adjective,형용사
검다,Adjective,형용사
장히,Adjective,형용사
안전해야,Adjective,형용사
아름다워서,Adjective,형용사
집요했고,Adjective,형용사
지루하단,Adjective,형용사
천한,Adjective,형용사
어색해야,Adjective,형용사
추합니당,Adjective,형용사
쎈지,Adjective,형용사
열광하는지를,Adjective,형용사
낮던,Adjective,형용사
허무하지,Adjective,형용사
정신차리라고,Adjective,형용사
엄청날,Adjective,형용사
따뜻해지고,Adjective,형용사
그렇기에,Adjective,형용사
넘친,Adjective,형용사
있었구,Adjective,형용사
저릴,Adjective,형용사
아니겟어여,Adjective,형용사
쎄난,Adjective,형용사
고결하다,Adjective,형용사
있더니,Adjective,형용사
어때서,Adjective,형용사
무사히,Adjective,형용사
두근거렸다,Adjective,형용사
멋지구,Adjective,형용사
낡지,Adjective,형용사
하찮다,Adjective,형용사
흥겨웠다,Adjective,형용사
뻣뻣하게,Adjective,형용사
얼얼했다는,Adjective,형용사
나약해지는,Adjective,형용사
같기에,Adjective,형용사
아니였던,Adjective,형용사
진하지,Adjective,형용사
답답해졌냐,Adjective,형용사
선명하게,Adjective,형용사
강하다,Adjective,형용사
높다라는,Adjective,형용사
장엄할,Adjective,형용사
불필요했던,Adjective,형용사
같지만,Adjective,형용사
충분하잖아,Adjective,형용사
있더군요,Adjective,형용사
깊었음,Adjective,형용사
대단하다는,Adjective,형용사
많군요,Adjective,형용사
이상해졌다,Adjective,형용사
성공하고,Adjective,형용사
불친절하게,Adjective,형용사
순수함,Adjective,형용사
막연한,Adjective,형용사
못지않았습니다,Adjective,형용사
안타깝습니다,Adjective,형용사
담백하면서도,Adjective,형용사
우월할,Adjective,형용사
불쾌함의,Adjective,형용사
멋있었다,Adjective,형용사
